norm	N	avg	std_err	num_recoveries
L7	110	110.67572	0.35130118239200786	100000
L7	120	121.06677	0.3838753161122101	100000
L7	130	131.06261	0.4153681379292076	100000
L7	140	140.49635	0.4476631799578755	100000
L7	150	151.61381	0.4823841098306709	100000
L7	160	160.40961	0.5090066225245993	100000
L7	170	170.03653	0.5371809944420938	100000
L7	180	180.74237	0.572370488099784	100000
L7	190	191.19918	0.608841513657842	100000
L7	200	200.992	0.6351378553990875	100000
L8	10	19.180909939544808	0.09861157390960414	89984
L8	20	52.13056379821958	0.31517175416458937	95034
L8	30	89.61410174123688	0.6141893162840106	96598
L8	40	131.16574302134646	0.9833190988924589	97440
L8	50	176.43376676355106	1.4139791541008655	98055
L8	60	224.32130037319124	1.9161034102282444	98341
L8	70	268.1895023028385	2.3896248310305572	98574
L8	80	310.79384325523444	2.860977373961029	98721
L8	90	360.6993113073026	3.4068990705497684	98883
L8	100	418.761479939784	4.095740640430882	98977
L8	110	476.47285437598356	4.91798056005948	99132
L8	120	527.6272096913991	5.495837334212755	99222
L8	130	570.5417586293777	6.046314533005914	99225
L8	140	624.93835092242	6.924482014573638	99304
L8	150	673.6687024590494	7.572857798030402	99388
L8	160	754.6278260169637	8.69075433041986	99389
L8	170	808.0075021621512	9.439474790892419	99438
L8	180	841.6228408164908	9.817368494553683	99401
L8	190	924.0877722145141	11.530098113579916	99462
L8	200	985.197586317778	12.227940975128524	99516
L1-IS	10	5.8309	0.019643347741947755	100000
L1-IS	20	10.73605	0.03538708700125278	100000
L1-IS	30	15.7843	0.051801710099883116	100000
L1-IS	40	20.7363	0.06713735694342343	100000
L1-IS	50	25.77968	0.0828059053398807	100000
L1-IS	60	30.81013	0.09920974155578137	100000
L1-IS	70	35.84901	0.11411235225204946	100000
L1-IS	80	40.82712	0.13064461031821487	100000
L1-IS	90	45.52243	0.14543735726834844	100000
L1-IS	100	50.92651	0.16241717792645674	100000
L1-IS	110	55.78613	0.17769886061840423	100000
L1-IS	120	60.61034	0.19300136462241285	100000
L1-IS	130	65.6975	0.20894245118448196	100000
L1-IS	140	70.99029	0.22634990987401427	100000
L1-IS	150	75.55981	0.23981019185372346	100000
L1-IS	160	80.51336	0.25487421529797544	100000
L1-IS	170	85.69246	0.2720785858148927	100000
L1-IS	180	90.51778	0.2888954656006554	100000
L1-IS	190	95.79817	0.3054290919604902	100000
L1-IS	200	100.65482	0.31940205616810174	100000
L2-IS	10	10.67166	0.0333455371480598	100000
L2-IS	20	20.78295	0.06567194927078478	100000
L2-IS	30	30.5589	0.09657964373601649	100000
L2-IS	40	40.78571	0.1291373039148309	100000
L2-IS	50	50.62803	0.15951579650957282	100000
L2-IS	60	60.35522	0.19099043787839615	100000
L2-IS	70	70.39496	0.22300397613880998	100000
L2-IS	80	80.77243	0.2558112984470417	100000
L2-IS	90	90.79196	0.2851753377192941	100000
L2-IS	100	101.00736	0.31781005567888493	100000
L2-IS	110	110.54347	0.34802918605590194	100000
L2-IS	120	120.85714	0.3842034172581785	100000
L2-IS	130	131.04545	0.4125482757251198	100000
L2-IS	140	141.13854	0.44963177596118126	100000
L2-IS	150	151.28348	0.47594042146443855	100000
L2-IS	160	160.5243	0.5108318723289738	100000
